#                 x                   p                 rho                 U_x                 U_y                 U_z
     0.145367304609       4130629.45854       4.04979014551       458.922651386    -0.0035426422043   9.72004267021e-14
     0.146188583166       4118160.00702       4.03966475737       465.887051453   -0.00376550131587   1.00369976233e-13
     0.147009861723       4104319.90301       4.02841651522       473.392035361    -0.0037655013158   1.00862188125e-13
     0.147831140281         4090479.799       4.01716827307       480.897019269   -0.00376550131574   1.01354400018e-13
     0.148652418838       4075716.50982        4.0051620286       488.756884856   -0.00400549102553    1.1305693049e-13
     0.149473697395       4060275.50069       3.99259934869       496.877256152   -0.00400549102546   1.13589502362e-13
     0.150294975952       4044578.67227       3.97982609691       505.093443708   -0.00426284602347    1.1730098108e-13
     0.151116254509       4027287.64439       3.96574049172       513.906655405   -0.00426284602339    1.1787899266e-13
     0.151937533066       4009996.61652       3.95165488653       522.719867101   -0.00426284602332   1.18457004241e-13
     0.152758811623       3991203.14106       3.93632848812       532.080778093   -0.00453706796437   1.13726872655e-13
      0.15358009018       3971765.43146       3.92047006591       541.676517733   -0.00453706796429   1.14356206073e-13
     0.154401368737        3951674.3605       3.90406999674       551.503728092   -0.00482509449686   1.18436991652e-13
     0.155222647295       3929738.21942       3.88614025809       561.984542342   -0.00482509449677   1.19124372395e-13
     0.156043925852       3907802.07835       3.86821051944       572.465356592   -0.00482509449668   1.19811753139e-13
     0.156865204409        3883469.7609         3.848284309       583.768870979   -0.00512039454353   1.24269634895e-13
     0.157686482966       3858622.54584       3.82792909836       595.249144018   -0.00512039454343   1.25022564814e-13
     0.158507761523       3832473.23022       3.80648211231       607.160889546    -0.0054093713361    1.3736744512e-13
      0.15932904008       3804241.68442       3.78328916176       619.762545451     -0.005409371336   1.38193920564e-13
     0.160150318637       3776010.13861       3.76009621121       632.364201357   -0.00540937133589   1.39020396007e-13
     0.160971597194       3744083.03362       3.73377799147       646.139334974   -0.00566815018916   1.53553751847e-13
     0.161792875752       3711946.49033       3.70728264691       659.980932265   -0.00566815018904   1.54461548437e-13
     0.162614154309       3677559.28784       3.67886530785       674.507558917   -0.00585641332473    1.6131756464e-13
     0.163435432866       3640992.29736       3.64858641757        689.69757507    -0.0058564133246   1.62313796836e-13
     0.164256711423       3604080.63169       3.61800208925       704.971372367   -0.00591322396977   1.68716237753e-13
      0.16507798998       3562562.87164       3.58333361429        721.35959675   -0.00591322396963    1.6979105404e-13
     0.165899268537        3521045.1116       3.54866513933       737.747821132   -0.00591322396948   1.70865870328e-13
     0.166720547094       3476954.81825       3.51276104418       757.009010317   -0.00574670546516    1.7729410466e-13
     0.167541825651       3431364.65522       3.47614145985       777.955817409   -0.00574670546498    1.7866789409e-13
     0.168363104208        3382657.5718       3.43624926901       798.715838517   -0.00532016669572   1.85012603235e-13
     0.169184382766       3320814.24922        3.3825359411       818.627807496   -0.00532016669555   1.86318523148e-13
     0.170005661323       3258970.92664        3.3288226132       838.539776475   -0.00532016669537   1.87624443062e-13
      0.17082693988       3144913.35189       3.22672668198       869.156715577   -0.00510219564019    1.9191964945e-13
     0.171648218437       3034073.03456       3.13053204148       906.087948721   -0.00423828436581   1.95668251663e-13
     0.172469496994       2938024.56677       3.04689294565       938.100857146    -0.0036731618215   1.98270742341e-13
     0.173290775551       2853454.36057          2.97316695       966.645897554   -0.00303914652383   2.00540123439e-13
     0.174112054108       2775868.45874       2.90535010773       992.999826886   -0.00165110307454   2.02750464541e-13
     0.174933332665       2702731.71069       2.84112965799       1017.76702091  -0.000953585373917    2.0446760261e-13
     0.175754611222        2633528.4466       2.78005636839       1041.04806688  -0.000297494391309   2.06001356231e-13
      0.17657588978       2568989.50582       2.72279859677       1062.60526635   0.000759232084394   2.07245965155e-13
     0.177397168337       2510680.60393       2.67078381994       1081.97115847    0.00110660654438   2.08373751673e-13
     0.178218446894       2458010.40124       2.62363380167       1099.47307884     0.0013138832919   2.09361180728e-13
     0.179039725451       2410503.57525       2.58103525331       1115.40861477     0.0013841829349   2.10242106237e-13
     0.179861004008       2366940.69451       2.54204031699       1130.43602864    0.00120647265074   2.10931327858e-13
     0.180682282565       2323750.72435        2.5035931048        1146.0154494    0.00103804321162   2.11832151124e-13
     0.181503561122       2276289.67484       2.46173602128       1164.19590805   0.000882455736191   2.12920930847e-13
     0.182324839679       2215015.56901       2.40724644752       1187.34276833   0.000821860969455   2.14251948694e-13
