#                 y                   p                 rho                 U_x                 U_y                 U_z
    0.0142151924686       88374.6030301      0.163196838742       2437.12407322       97.7562783623   -0.00886721068411
    0.0143696945607       88380.9721894      0.163210972942       2437.10895592       98.3563333988    -0.0107333811714
    0.0145241966527       88387.3413486      0.163225107141       2437.09383861       98.9563884353    -0.0125995516586
    0.0146786987448       88393.7105078      0.163239241341       2437.07872131       99.5564434718    -0.0144657221459
    0.0148332008368       88381.1370392      0.163218074901       2437.05665391       100.163963742      -0.01329473441
    0.0149877029289       88364.0312214      0.163188462178       2437.03292358       100.773270198    -0.0113970543822
    0.0151422050209       88346.9254035      0.163158849454       2437.00919325       101.382576654   -0.00949937435432
     0.015296707113       88329.8195857       0.16312923673       2436.98546293       101.991883109   -0.00760169432645
     0.015451209205       88312.7137678      0.163099624006        2436.9617326       102.601189565   -0.00570130633889
    0.0156057112971         88295.60795      0.163070011283       2436.93800227       103.210496021   -0.00378272573078
    0.0157602133891       88278.5021321      0.163040398559       2436.91427194       103.819802477   -0.00186414512267
    0.0159147154812       88261.9481215      0.163011730485       2436.88931916       104.443057201   9.05470236155e-06
    0.0160692175732       88283.9273191      0.163049160858       2436.77967858       106.050958822   -0.00231239649277
    0.0162237196653       88306.0007938      0.163086753262       2436.66983238       107.661294544   -0.00463589502758
    0.0163782217573       88328.0742685      0.163124345666       2436.55998619       109.271630265   -0.00695829649551
    0.0165327238494       88350.1477432       0.16316193807       2436.45013999       110.881965987    -0.0092564833664
    0.0166872259414       88372.2212178      0.163199530474        2436.3402938       112.492301708    -0.0115546702373
    0.0168417280335       88394.2946925      0.163237122878       2436.23044761        114.10263743    -0.0138528571082
    0.0169962301255       88416.3681672      0.163274715282       2436.12060141       115.712973152    -0.0161510439791
    0.0171507322176       88423.3165687       0.16328417406       2436.00552398       117.332286393     -0.015693216769
    0.0173052343096       88419.8053457      0.163274177251       2435.88682894       118.957807968    -0.0133294898656
    0.0174597364017       88416.2941226      0.163264180443       2435.76813389       120.583329543    -0.0109657629623
    0.0176142384937       88412.7828996      0.163254183634       2435.64943885       122.208851117   -0.00860203605889
    0.0177687405858       88409.2716766      0.163244186825        2435.5307438       123.834372692   -0.00623147645924
    0.0179232426778       88405.7604536      0.163234190016       2435.41204876       125.459894266   -0.00384171605016
    0.0180777447699       88402.2492306      0.163224193207       2435.29335371       127.085415841   -0.00145195564109
    0.0182322468619       88402.4599047      0.163222941983       2435.21504691       128.262849506  -0.000968344246416
     0.018386748954       88408.8028001      0.163236122256        2435.2036485       128.698712779    -0.0036462283426
     0.018541251046       88415.1456955      0.163249302529        2435.1922501       129.134576052   -0.00632411243879
    0.0186957531381        88421.488591      0.163262482803       2435.18085169       129.570439325   -0.00898436216391
    0.0188502552301       88427.8314864      0.163275663076       2435.16945328       130.006302599    -0.0116330740006
    0.0190047573222       88434.1743818      0.163288843349       2435.15805487       130.442165872    -0.0142817858372
    0.0191592594142       88440.5172773      0.163302023622       2435.14665646       130.878029145    -0.0169304976739
    0.0193137615063       88434.6016064      0.163292376776       2435.13038866       131.330095804     -0.017172703637
