x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
1.775,0.9958995567978511,0.990390053691349,-0.00402966249745427,-0.00840404450752485,0.9942593795169915,0.99586440682129,0.99000000000001,-0.004079482627429,-0.0084252827619933,0.9941895744338
1.785,0.9953687221431032,0.9897538765853736,-0.004532576254622334,-0.00856452896780204,0.9935162110003445,0.99533189581181,0.98899999999999,-0.0045866883226602,-0.008583485307697,0.99344545453585
1.795,0.9948561650262269,0.9891581362475073,-0.005017602004050535,-0.00869121314500442,0.9927986310367176,0.99481616447118,0.989,-0.0050775436508206,-0.0087076832198564,0.9927252698534
1.805,0.9943639082759974,0.9886051837926957,-0.005482825570693043,-0.008783597074561054,0.9921094715863963,0.99431856596031,0.98900000000001,-0.0055508450390875,-0.0087971151683004,0.992030973572
1.815,0.9938938946049172,0.9880972014716578,-0.005926410929672762,-0.008841316159308192,0.9914514524468839,0.99384527339129,0.987,-0.0059997881374378,-0.0088513922821103,0.99137106707316
1.825,0.993447978942217,0.9876361940585401,-0.006346607452232673,-0.008864142608387679,0.9908271705191039,0.99340045008223,0.98799999999999,-0.0064200303643565,-0.0088706276589783,0.99075124659231
1.835,0.9930279211132984,0.9872239809389876,-0.006741756814667774,-0.008851986336233408,0.9902390895586177,0.99298291327282,0.986,-0.0068133408372278,-0.0088549082195115,0.99016980220881
1.845,0.9926353788945057,0.986862188929861,-0.0071102995429710835,-0.008804895318097902,0.9896895304523079,0.9925899711592,0.987,-0.0071832690367395,-0.0088042841804335,0.98962294903783
1.855,0.992271901470641,0.9865522458589333,-0.0074507811673651565,-0.008723055400715902,0.9891806620588974,0.99222272280797,0.9860000000000099,-0.0075288889042226,-0.0087187603580041,0.98911219079271
1.865,0.9919389233210393,0.9862953749299059,-0.007761857962429767,-0.008606789568852212,0.988714492649455,0.99188696417845,0.98599999999999,-0.0078437607076017,-0.0085984255853401,0.98864556876884
1.875,0.9916377585583339,0.9860925898949825,-0.008042302250172263,-0.008456556670628392,0.9882928619816674,0.99159053654266,0.9860000000000201,-0.0081187936081136,-0.0084441348228869,0.98823396432076
1.885,0.9913695957422539,0.9859446910540524,-0.008291007245111743,-0.008272949606658845,0.9879174340391556,0.99133658581769,0.9850000000000001,-0.008350304454366,-0.0082570086561461,0.98788171210563
1.895,0.9911354931889227,0.9858522620962721,-0.008506991422255666,-0.008056692990142979,0.9875896904644919,0.99111372843956,0.9860000000000099,-0.0085520682126365,-0.0080381551487975,0.98757290557336
1.905,0.9909363747941669,0.9858156677965111,-0.008689402390730643,-0.007808640287147927,0.9873109247118337,0.99090665648467,0.9850000000000001,-0.008742792867859,-0.0077879138559709,0.98728619229903
1.915,0.990773026387322,0.9858350525757523,-0.008837520257779742,-0.007529770448367911,0.9870822369422507,0.99072518183539,0.98599999999999,-0.0089109940002939,-0.0075058443346957,0.98703518173642
1.925,0.990646092629923,0.9859103399311281,-0.008950760469850343,-0.007221184045653075,0.9869045296818922,0.99059848315206,0.986,-0.0090230833963965,-0.0071931696359185,0.98686044807624
1.935,0.99055607447152,0.9860412327378424,-0.00902867611955993,-0.006884098928555236,0.986778504260128,0.99053895253888,0.9850000000000001,-0.009064881883381,-0.0068533165295421,0.98677924043815
1.945,0.9905033271726588,0.9862272144217862,-0.009070959709435373,-0.006519845418032029,0.9867046580417222,0.99052236434088,0.98700000000001,-0.0090616276913043,-0.0064881596833559,0.98675742372116
1.955,0.9904880589028299,0.98646755099822,-0.009077444365464971,-0.006129861056277889,0.9866832824639618,0.99052451864269,0.98599999999999,-0.00904368611328,-0.0060993787551351,0.98676197177065
1.965,0.990510329918919,0.986761293968476,-0.009048104495673932,-0.00571568493340174,0.9867144618864865,0.99054993781417,0.987,-0.0090068706843483,-0.0056871892808102,0.98679924099314
1.975,0.9905700523274003,0.987107284063249,-0.008983055891124211,-0.0052789516133415265,0.9867980732583603,0.99060868527612,0.98700000000001,-0.0089389783943479,-0.005252702800094,0.98688236639264
1.985,0.990666990431212,0.9875041558177027,-0.008882555268940082,-0.00482138468298704,0.9869337866036967,0.99070218572497,0.987,-0.0088391268435847,-0.00479791169468,0.987013696391
1.995,0.9908007616599451,0.9879503429603357,-0.008746999259162943,-0.004344789949969943,0.9871210663239233,0.9908311816152,0.98799999999999,-0.0087059656047865,-0.0043241799524783,0.98719429412322
2.005,0.9909708380796743,0.9884440845943396,-0.008576922839433732,-0.0038510483159660313,0.9873591733115441,0.99099649408507,0.98800000000002,-0.0085379329224498,-0.0038336049355004,0.98742532095976
2.015,0.9911765484764714,0.9889834321470541,-0.00837299722368059,-0.0033421083536356094,0.98764716786706,0.99119879857946,0.9889999999999801,-0.0083340046698234,-0.0033279744950536,0.98770776020973
