x_m,rho_exact_kg_m3,rho_GPU_GKS_GKP_kg_m3,Ux_exact_m_s,Ux_GPU_GKS_GKP_m_s,p_exact_Pa,p_GPU_GKS_GKP_Pa
0.4125,0.5550825530473975,0.57677674211136,207.77780876079174,193.98391353244,43863.22988615572,46487.552232052
0.4175,0.5452328012620571,0.56687851982098,213.72220724481286,199.75399115262,42777.43747729364,45379.302244285
0.4225,0.5355233727672418,0.55710065925268,219.66660572883404,205.53390161917,41714.76509691964,44292.545322978
0.4275,0.5259527628702539,0.54744643100251,225.61100421285516,211.32423021789,40674.80103035421,43224.828118313
0.4325,0.5165194776736387,0.5379218281001,231.55540269687634,217.11253247268,39657.13944928754,42182.601829302
0.4375,0.507222034036325,0.52852010927526,237.4998011808975,222.92218434276,38661.38034843395,41152.653911787
0.4425,0.4980589595347563,0.51927805693281,243.4441996649186,228.68628951523,37687.12948264161,40160.414706227
0.4475,0.4890287924240279,0.51011573459103,249.3885981489398,234.52959744126,36733.99830445731,39167.276697928
0.4525,0.4801300815990235,0.50122730834343,255.3329966329609,240.24195637357,35801.603902143965,38220.93258272
0.4575,0.4713613865555506,0.49232643460568,261.27739511698206,246.04420300952,34889.56893814917,37274.285795653
0.4625,0.46272127735147633,0.48369145923071,267.22179360100324,251.7354787281,33997.521588023315,36386.495233778
0.4675,0.4542083345678613,0.47519788609181,273.16619208502436,257.58746631799,33125.095479785334,35466.123568686
0.4725,0.4458211492700982,0.46721929706488,279.1105905690454,263.00202354266,32271.929633735173,34614.388046404
0.4775,0.43755832296904446,0.45885114052427,285.0549890530666,268.486826902,31437.668402710256,33820.500815003
0.4825,0.42941846758216223,0.45068026103783,290.9993875370878,274.30286707472,30621.961412785524,33013.570229999
0.4875,0.4263194281784952,0.44382484271834,293.2862701245426,279.73041722387,30313.017805064683,32205.220498299
0.4925,0.4263194281784952,0.4375328858669,293.2862701245426,284.292604073,30313.017805064683,31497.996785266
0.4975,0.4263194281784952,0.43058082447285,293.2862701245426,288.58349489456,30313.017805064683,30913.043586256
0.5025,0.4263194281784952,0.42432145111842,293.2862701245426,292.75500307094,30313.017805064683,30422.689204504
0.5075,0.4263194281784952,0.4220205788578,293.2862701245426,295.3486726909,30313.017805064683,30085.068317989
0.5125,0.4263194281784952,0.4220996102535,293.2862701245426,295.71793673036,30313.017805064683,30003.34784903
0.5175,0.4263194281784952,0.42208278217611,293.2862701245426,295.65738544864,30313.017805064683,30001.318145432
0.5225,0.4263194281784952,0.42378275996645,293.2862701245426,293.99773325294,30313.017805064683,30197.868418241
0.5275,0.4263194281784952,0.42364537975415,293.2862701245426,293.58892449431,30313.017805064683,30270.585371497
0.5325,0.4263194281784952,0.42361187490325,293.2862701245426,293.54205893631,30313.017805064683,30277.674010701
0.5375,0.4263194281784952,0.42385870730061,293.2862701245426,293.53991543003,30313.017805064683,30285.785121123
0.5425,0.4263194281784952,0.42419974693449,293.2862701245426,293.49998430257,30313.017805064683,30289.174850226
0.5475,0.4263194281784952,0.42448391400105,293.2862701245426,293.30878884304,30313.017805064683,30311.123273583
0.5525,0.4263194281784952,0.42400541100393,293.2862701245426,293.49383700288,30313.017805064683,30283.278228569
0.5575,0.4263194281784952,0.42388070389531,293.2862701245426,293.38580793143,30313.017805064683,30306.635999196
0.5625,0.4263194281784952,0.4237323493308,293.2862701245426,293.44844879808,30313.017805064683,30300.202168429
0.5675,0.4263194281784952,0.42393280850852,293.2862701245426,293.2892409484,30313.017805064683,30323.081224862
0.5725,0.4263194281784952,0.42368695862736,293.2862701245426,293.45454947265,30313.017805064683,30300.301096859
0.5775,0.4263194281784952,0.42373734347885,293.2862701245426,293.36110311154,30313.017805064683,30309.705398824
0.5825,0.4263194281784952,0.42349315496681,293.2862701245426,293.4275872756,30313.017805064683,30296.644062531
0.5875,0.4263194281784952,0.42352175355195,293.2862701245426,293.23085317826,30313.017805064683,30324.508830492
0.5925,0.4263194281784952,0.42314309410526,293.2862701245426,293.40882900516,30313.017805064683,30300.341607966
0.5975,0.4263194281784952,0.42321858909052,293.2862701245426,293.28887366818,30313.017805064683,30317.806137613
0.6025,0.4263194281784952,0.42294244936024,293.2862701245426,293.43292251182,30313.017805064683,30297.995733069
0.6075,0.4263194281784952,0.42305948068543,293.2862701245426,293.23709630089,30313.017805064683,30321.688968865
0.6125,0.4263194281784952,0.42257120127148,293.2862701245426,293.43096310221,30313.017805064683,30292.761715257
0.6175,0.4263194281784952,0.42257501406825,293.2862701245426,293.17562888339,30313.017805064683,30329.326724623
0.6225,0.4263194281784952,0.42197776445014,293.2862701245426,293.42308911534,30313.017805064683,30295.426456498
0.6275,0.4263194281784952,0.42200930396453,293.2862701245426,293.21284061875,30313.017805064683,30330.071305643
0.6325,0.4263194281784952,0.42151592412098,293.2862701245426,293.45481878644,30313.017805064683,30297.233207872
0.6375,0.4263194281784952,0.42162573615891,293.2862701245426,293.20110609428,30313.017805064683,30327.983284397
0.6425,0.4263194281784952,0.42095575971851,293.2862701245426,293.44713580929,30313.017805064683,30288.547379956
0.6475,0.4263194281784952,0.42088520406955,293.2862701245426,293.08541096871,30313.017805064683,30333.165253041
0.6525,0.4263194281784952,0.41991736409118,293.2862701245426,293.36961387252,30313.017805064683,30285.033276024
