record_type,time_ms,experiment_surface_temperature_C,cold_wall_contact_layer_temperature_C,cold_wall_contact_layer_temperature_K,cold_enthalpy_equivalent_temperature_C,cold_enthalpy_equivalent_temperature_K,cold_axial_node_mean_temperature_C,cold_axial_node_mean_temperature_K,cold_free_surface_temperature_C,cold_free_surface_temperature_K,cold_profile_active,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2,cold_solidification_contact_age_s
coldWall,6.349,,1172.8731736056561,1446.023173605656,2047.400829947865,2320.550829947865,1792.8032359224421,2065.953235922442,2089.8838665307244,2363.0338665307245,1,1,0.0002656651777215302,0.0002656651777215302,0.006348476745188236
coldWall,6.399,,1172.1951492537314,1445.3451492537313,2047.3457628243182,2320.4957628243183,1792.0422792621544,2065.1922792621544,2089.7179263001794,2362.8679263001795,1,1,0.0002656651777215302,0.0002656651777215302,0.006398465484380722
coldWall,6.449,,1171.5298900235666,1444.6798900235665,2047.2909090077878,2320.440909007788,1791.3108831101445,2064.4608831101446,2089.5519855148427,2362.701985514843,1,1,0.0002656651777215302,0.0002656651777215302,0.006448454223573208
coldWall,6.4990000000000006,,1170.8794579732917,1444.0294579732915,2047.2362984897077,2320.3862984897078,1790.609467681461,2063.759467681461,2089.3855463482373,2362.5355463482374,1,1,0.0002656651777215302,0.0002656651777215302,0.006498442962765694
coldWall,6.549,,1170.2457187745485,1443.3957187745484,2047.1819012763403,2320.3319012763404,1789.9362334576922,2063.0862334576923,2089.211307339608,2362.361307339608,1,1,0.0002656651777215302,0.0002656651777215302,0.0065484317019581795
coldWall,6.599,,1169.63034171249,1442.78034171249,2047.1277168405668,2320.277716840567,1789.2904189887408,2062.440418988741,2089.037067718889,2362.187067718889,1,1,0.0002656651777215302,0.0002656651777215302,0.006598420441150665
coldWall,6.649,,1169.0347996857818,1442.1847996857816,2047.0737675448472,2320.2237675448473,1788.6722966130142,2061.8222966130143,2088.862827484261,2362.012827484261,1,1,0.0002656651777215302,0.0002656651777215302,0.006648409180343151
coldWall,6.699,,1168.4603692065984,1441.6103692065985,2047.0200452328545,2320.1700452328546,1788.0808790689512,2061.2308790689513,2088.6885866384523,2361.8385866384524,1,1,0.0002656651777215302,0.0002656651777215302,0.006698397919535637
coldWall,6.749,,1167.9085231736058,1441.0585231736056,2046.9665178065202,2320.1165178065203,1787.5142628897179,2060.664262889718,2088.514345178735,2361.664345178735,1,1,0.0002656651777215302,0.0002656651777215302,0.006748386658728123
coldWall,6.799,,1167.3799489395128,1440.529948939513,2046.9132015778641,2320.063201577864,1786.9725097522555,2060.1225097522556,2088.3401031069275,2361.4901031069276,1,1,0.0002656651777215302,0.0002656651777215302,0.0067983753979206085
coldWall,6.849,,1166.875726630008,1440.025726630008,2046.8601036502523,2320.0101036502524,1786.4553318036478,2059.605331803648,2088.1648647482484,2361.3148647482485,1,1,0.0002656651777215302,0.0002656651777215302,0.006848364137113094
coldWall,6.899,,1166.396739984289,1439.5467399842892,2046.8072006082616,2319.9572006082617,1785.9612281986779,2059.111228198678,2087.982324132097,2361.132324132097,1,1,0.0002656651777215302,0.0002656651777215302,0.00689835287630558
coldWall,6.949000000000001,,1165.9435781618226,1439.0935781618225,2046.7544882426969,2319.904488242697,1785.4894950036432,2058.6394950036433,2087.7997828429193,2360.9497828429194,1,1,0.0002656651777215302,0.0002656651777215302,0.006948341615498066
coldWall,6.999,,1165.5170267085623,1438.6670267085624,2046.701966290665,2319.851966290665,1785.0395641433697,2058.18956414337,2087.617240881625,2360.767240881625,1,1,0.0002656651777215302,0.0002656651777215302,0.006998330354690552
coldWall,7.049,,1165.1173802042422,1438.267380204242,2046.6496413299378,2319.799641329938,1784.6111331061425,2057.7611331061426,2087.4346982482143,2360.5846982482144,1,1,0.0002656651777215302,0.0002656651777215302,0.007048319093883038
coldWall,7.099,,1164.745227808327,1437.8952278083268,2046.5975228324223,2319.7475228324224,1784.2040271282222,2057.3540271282222,2087.2521549417775,2360.4021549417776,1,1,0.0002656651777215302,0.0002656651777215302,0.007098307833075523
coldWall,7.149,,1164.4007659073054,1437.5507659073055,2046.545577911851,2319.695577911851,1783.8165957603123,2056.9665957603124,2087.069610963224,2360.219610963224,1,1,0.0002656651777215302,0.0002656651777215302,0.007148296572268009
coldWall,7.199000000000001,,1164.0842890809113,1437.2342890809111,2046.4938202496155,2319.6438202496156,1783.4487108653734,2056.5987108653735,2086.8834154125557,2360.0334154125558,1,1,0.0002656651777215302,0.0002656651777215302,0.007198285311460495
coldWall,7.2490000000000006,,1163.7960919088769,1436.9460919088767,2046.442232219125,2319.592232219125,1783.0993607111873,2056.2493607111874,2086.69257254405,2359.84257254405,1,1,0.0002656651777215302,0.0002656651777215302,0.007248274050652981
coldWall,7.2989999999999995,,1163.5360761979578,1436.6860761979576,2046.390816452174,2319.540816452174,1782.768087443962,2055.918087443962,2086.5017289397633,2359.6517289397634,1,1,0.0002656651777215302,0.0002656651777215302,0.007298262789845467
coldWall,7.349,,1163.3043401413984,1436.4543401413982,2046.3395679506884,2319.4895679506885,1782.4542399049596,2055.6042399049597,2086.3108846015143,2359.4608846015144,1,1,0.0002656651777215302,0.0002656651777215302,0.007348251529037952
coldWall,7.399,,1163.1008837391987,1436.2508837391988,2046.2884990808325,2319.4384990808326,1782.1579504974638,2055.307950497464,2086.1200395283936,2359.2700395283937,1,1,0.0002656651777215302,0.0002656651777215302,0.007398240268230438
coldWall,7.449,,1162.9259033778476,1436.0759033778477,2046.237609317211,2319.387609317211,1781.8787516012999,2055.0287516013,2085.9291937194916,2359.0791937194917,1,1,0.0002656651777215302,0.0002656651777215302,0.007448229007422924
coldWall,7.4990000000000006,,1162.7791044776118,1435.9291044776119,2046.1869018179464,2319.3369018179465,1781.6162759935028,2054.766275993503,2085.7381812220387,2358.888181222039,1,1,0.0002656651777215302,0.0002656651777215302,0.00749821774661541
coldWall,7.549,,1162.660192458759,1435.8101924587588,2046.1363131782587,2319.2863131782588,1781.367605538217,2054.517605538217,2085.5390362175945,2358.6890362175945,1,1,0.0002656651777215302,0.0002656651777215302,0.007548206485807896
