record_type,time_ms,experiment_beta,cold_beta,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2
coldWall,4.699,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.749,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.799,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.849,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.899000000000001,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.949,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.049,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.099,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.149,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.199000000000001,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.2490000000000006,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.2989999999999995,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.349,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.399,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.449,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.4990000000000006,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.549,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.599,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.649,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.699,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.749,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.799,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.849,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.899000000000001,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.949000000000001,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,5.999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.049,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.099,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.149,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.199000000000001,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.2490000000000006,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.2989999999999995,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.349,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.399,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.449,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.4990000000000006,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.549,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.599,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.649,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.699,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.749,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.799,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.849,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.899,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.949000000000001,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,6.999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.049,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.099,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.149,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.199000000000001,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.2490000000000006,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.2989999999999995,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.349,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.399,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.449,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.4990000000000006,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.549,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.599,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.649,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.699,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.749,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.7989999999999995,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.849,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.899,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.949,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,7.998999999999999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.049,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.098999999999998,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.149,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.199,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.248999999999999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.299,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.348999999999998,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.399,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.449,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.498999999999999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.549,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
