temperature_component,time_s,particle_count,temperature_median_K,temperature_mean_K,temperature_p25_K,temperature_p75_K
topLayer,1.9800000264874242,1604,2999.87482397,3009.52005018,2970.82398994,3044.74178084
enthalpyMean,1.9800000264874242,1604,2929.55044227,2957.14382842,2868.11568171,3049.31845327
bottomLayer,1.9899999873899867,1617,2835.88756578,2856.8083929,2773.82350619,2932.99140822
topLayer,1.9899999873899867,1617,3003.70119355,3011.92025391,2973.42859424,3045.21778341
enthalpyMean,1.9899999873899867,1617,2939.10594627,2961.59765144,2869.73268639,3051.77659998
bottomLayer,1.9999999817259324,1653,2844.78058469,2861.67208169,2775.93825807,2938.55774507
topLayer,1.9999999817259324,1653,3009.9705928,3017.0942644,2977.38810735,3049.69997409
enthalpyMean,1.9999999817259324,1653,2947.01991264,2967.00322219,2873.37551874,3060.43570228
bottomLayer,2.0099999974587921,1700,2837.98309325,2851.86981271,2776.43525291,2919.70701519
topLayer,2.0099999974587921,1700,2973.88429166,2983.41720791,2950.64474815,3011.42471871
enthalpyMean,2.0099999974587921,1700,2935.08435252,2952.44622273,2869.18791406,3028.1978897
bottomLayer,2.0200000316052424,1685,2818.86039016,2841.19786635,2771.23071471,2902.03653468
topLayer,2.0200000316052424,1685,2954.63746296,2961.76295,2927.68335683,2983.96726292
enthalpyMean,2.0200000316052424,1685,2910.39982978,2938.18483343,2858.22657276,3006.81207455
bottomLayer,2.0299999646939595,1654,2811.85660798,2839.71406067,2766.37878511,2901.41939217
topLayer,2.0299999646939595,1654,2969.55024346,2974.75026709,2938.38444203,2994.18150249
enthalpyMean,2.0299999646939595,1654,2908.26744676,2937.1276533,2856.27713829,3006.18540884
bottomLayer,2.0399999828460311,1656,2813.63740998,2841.82975586,2765.8148618,2907.60967569
topLayer,2.0399999828460311,1656,2977.50284267,2986.73349215,2949.68692489,3004.73833912
enthalpyMean,2.0399999828460311,1656,2911.108525,2941.21366973,2857.5962391,3013.96898875
bottomLayer,2.05000002708669,1692,2819.29875124,2848.27845931,2767.90740323,2917.3905762
topLayer,2.05000002708669,1692,2987.53657914,2997.17045869,2955.11423879,3020.91313644
enthalpyMean,2.05000002708669,1692,2917.23000016,2948.41768288,2860.46590525,3029.86524641
bottomLayer,2.060000014315154,1699,2825.5702221,2851.89123113,2770.37273015,2923.7287768
topLayer,2.060000014315154,1699,2997.3061631,3004.97293596,2964.08112666,3038.51846738
enthalpyMean,2.060000014315154,1699,2923.10722551,2952.86162623,2862.90096285,3033.61368986
